id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate
3150,28th week,Odisha,Rayagada,Cholera,10.0,2,16,7,2016,19.17209585,83.33503085,0.970340203,11.0,302.12,Diarrheal Diseases,0.18181818181818182
3151,28th week,Rajasthan,Dungarpur,Acute Diarrhoeal Disease,14.0,1,13,7,2016,23.666667,73.75,1.681400847,4.0,304.8,Diarrheal Diseases,0.06666666666666667
3152,28th week,Tamil Nadu,Virudhunagar,Acute Diarrhoeal Disease,77.0,0,16,7,2016,9.5208936,77.8784564,0.098102456,5.0,316.6733334,Diarrheal Diseases,0.0
3153,28th week,Telangana,Mahabubnagar,Acute Diarrhoeal Disease,41.0,1,11,7,2016,16.69656855,77.95911462,0.488594675,5.0,309.38,Diarrheal Diseases,0.023809523809523808
3154,28th week,Uttar Pradesh,Azamgarh,Acute Diarrhoeal Disease,19.0,2,8,7,2016,26.02269675,83.02887343,0.981463216,3.0,300.58000000000004,Diarrheal Diseases,0.1
3155,28th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,41.0,0,8,7,2016,24.0,87.583333,1.557949462,5.0,304.38,Diarrheal Diseases,0.0
3156,28th week,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,42.0,1,7,7,2016,25.38703085,88.50471505,1.567592651,4.0,300.96,Diarrheal Diseases,0.023255813953488372
3157,28th week,West Bengal,Hooghly,Dengue,457.0,0,11,7,2016,22.9052114,88.3760639,0.702760274,10.0,295.2,Dengue,0.0
3158,28th week,West Bengal,Purulia,Acute Diarrhoeal Disease,60.0,0,15,7,2016,23.3291882,86.3672378,0.665473962,5.0,300.925,Diarrheal Diseases,0.0
3159,28th week,Chhattisgarh,Balrampur,Acute Diarrhoeal Disease,17.0,2,6,7,2016,23.6263016,83.48245092,0.915049612,4.0,312.54,Diarrheal Diseases,0.1111111111111111
3160,28th week,Maharashtra,Parbhani,Acute Gastroenteritis,52.0,1,3,7,2016,19.29031365,76.60290343,0.897660858,2.5,315.32,Diarrheal Diseases,0.018867924528301886
3161,28th week,Rajasthan,Kota,Cholera,45.0,1,4,7,2016,25.1737019,75.8574194,0.535001916,4.0,313.52,Diarrheal Diseases,0.021739130434782608
3162,28th week,Uttar Pradesh,Kannauj,Acute Diarrhoeal Disease,73.0,2,29,6,2016,26.9996974,79.68861213,0.176842967,5.0,305.61,Diarrheal Diseases,0.02702702702702703
3163,28th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,82.0,1,4,7,2016,22.642931,88.8930579,0.577922009,7.0,295.32,Diarrheal Diseases,0.012048192771084338
3164,29th week,Andhra Pradesh,Srikakulam,Dengue,22.0,2,21,7,2016,18.32002205,83.9160772,0.392942703,10.0,303.38,Dengue,0.08695652173913043
