id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
2222,27th week,Karnataka,Davangere,Dengue,48,0,6,7,2017,14.4679807,75.9195682,0.159931551,5.0,305.58,Dengue
2223,28th week,Andhra Pradesh,Kadapa,Malaria,7,0,10,7,2017,14.4752936,78.8216861,0.147160575,7.0,310.02,Malaria
2224,28th week,Assam,Nagaon,Acute Encephalitis Syndrome,48,2,15,7,2017,26.30414915,92.71605974,1.123399282,28.0,305.14,Encephalitis
2225,28th week,Gujarat,Kheda,Acute Diarrhoeal Disease,45,1,16,7,2017,22.75,72.833333,5.679999853,3.0,303.62,Diarrheal Diseases
2226,28th week,Gujarat,Mahesana,Acute Diarrhoeal Disease,59,0,11,7,2017,23.6015557,72.3867981,0.110457854,3.5,310.49,Diarrheal Diseases
2227,28th week,Haryana,Karnal,Acute Diarrhoeal Disease,10,2,11,7,2017,29.6803266,76.9896254,0.133937759,16.0,301.112,Diarrheal Diseases
2228,28th week,Himachal Pradesh,Kullu,Acute Diarrhoeal Disease,210,1,6,7,2017,32.00186325,77.3789964,0.500901797,20.0,288.008,Diarrheal Diseases
2229,28th week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,75,0,15,7,2017,34.6110236,74.23847867,0.477207804,11.0,293.105,Diarrheal Diseases
2230,28th week,Karnataka,Bangalore Rural,Suspected Chikungunya,13,1,12,7,2017,13.0010872,77.3361225,0.266710388,6.0,308.27,Chikungunya
2231,28th week,Madhya Pradesh,Sehore,Dengue,49,0,12,7,2017,23.1156882,77.06623939,0.181617011,3.0,309.16,Dengue
2232,28th week,Maharashtra,Ratnagiri,Cholera,83,0,13,7,2017,17.2826079,73.4569787,0.600488813,7.0,298.45,Diarrheal Diseases
2233,28th week,Punjab,Ludhiana,Cholera,171,1,12,7,2017,30.9090157,75.851601,0.314162747,11.0,302.276,Diarrheal Diseases
2234,28th week,Punjab,Sangrur,Cholera,124,0,12,7,2017,30.2093363,75.81842243,0.231672913,19.0,300.82,Diarrheal Diseases
2235,28th week,Rajasthan,Baran,Acute Diarrhoeal Disease,97,1,11,7,2017,24.91765715,76.69627663,0.01665119,4.0,310.815,Diarrheal Diseases
2236,28th week,Rajasthan,Dungarpur,Acute Diarrhoeal Disease,10,1,18,7,2017,23.666667,73.75,0.643086119,6.0,283.3,Diarrheal Diseases
2237,28th week,Tamil Nadu,Sivaganga,Dengue,19,0,11,7,2017,9.851231,78.53047155,0.127284968,7.0,311.7,Dengue
2238,28th week,Tamil Nadu,Tirunelveli,Dengue,37,1,15,7,2017,8.7284271,77.7112925,0.025918766,3.0,309.56,Dengue
2239,28th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,13,0,6,7,2017,12.7948109,79.0006411,0.058521038,9.0,307.48,Diarrheal Diseases
2240,28th week,Telangana,Mahabubabad,Acute Gastroenteritis,9,1,13,7,2017,17.7138983,80.04134253,0.394396854,7.0,301.92,Diarrheal Diseases
2241,28th week,Telangana,Mahabubabad,Acute Gastroenteritis,44,1,8,7,2017,17.7138983,80.04134253,0.224240969,7.0,301.92,Diarrheal Diseases
2242,28th week,Telangana,Warangal,Acute Gastroenteritis,22,0,9,7,2017,17.9820644,79.5970954,0.156797745,6.0,305.54,Diarrheal Diseases
2243,28th week,Assam,Dibrugarh,Acute Encephalitis Syndrome,33,8,21,12,2016,27.4844597,94.9019447,0.00035947,13.0,296.544,Encephalitis
2244,28th week,Maharashtra,Washim,Acute Gastroenteritis,21,1,26,6,2017,20.28741775,77.2369655,0.20412671,1.5,309.128,Diarrheal Diseases
2245,28th week,Manipur,Churachandpur,Dengue,25,1,4,5,2017,24.378704,93.6970015,0.130061748,53.0,301.3833334,Dengue
2246,28th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,71,0,22,6,2017,23.2495714,87.8681751,0.69808446,11.0,307.1866666,Diarrheal Diseases
2247,28th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,193,1,4,7,2017,22.642931,88.8930579,0.675513068,8.0,295.96,Diarrheal Diseases
2248,29th week,Assam,Kokrajhar,Malaria,10,1,12,7,2017,26.58687695,90.29293105,4.258933777,9.0,303.3241667,Malaria
2249,29th week,Chhattisgarh,Kawardha,Acute Diarrhoeal Disease,27,1,21,7,2017,22.0059254,81.2332055,0.84298917,3.0,303.3241667,Diarrheal Diseases
2250,29th week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,18,1,17,7,2017,20.9727404,80.69155548,0.524640222,2.0,301.2133334,Diarrheal Diseases
2251,29th week,Karnataka,Kalaburagi,Dengue,24,1,19,7,2017,17.166667,77.083333,1.271991719,9.0,302.2,Dengue
2252,29th week,Karnataka,Hassan,Chikungunya,15,0,17,7,2017,13.0070817,76.0992703,0.446481103,4.0,307.38,Chikungunya
2253,29th week,Punjab,Barnala,Acute Diarrhoeal Disease,12,0,17,7,2017,30.3704685,75.50401742,1.059996735,11.0,300.94,Diarrheal Diseases
2254,29th week,Tamil Nadu,Tirunelveli,Dengue,37,1,17,7,2017,8.7284271,77.7112925,0.025252682,3.0,309.56,Dengue
2255,29th week,Chhattisgarh,Bastar,Malaria,73,1,5,7,2017,19.11912825,81.82918649,0.998311465,11.0,302.49,Malaria
